subject,content,answer,sentence,cat,maincat,subcat,a_perspective_1,a_perspective_2,a_perspective_3,s_perspective_1
how will i heal ? i think i am dying mentally?,"why do i feel so weak and i shiver the whole day and when i am walking  i feel my body cant balance on my legs and  y i feel all my energy is gone away from my body , only when i lie down i feel i am healed and when i get up again it starts , why i feel like i am dying , i take good meals and sleep well and  vitamins but nothing is curing me , n the only vice i got is of smoking cigarettes and tea thats all , i dont alcohol and drugs ,what cud be probably wrong with me and my blood test is normal for everything",go see a doctor,go see a doctor,Other - Health,Health,Other - Health,suggestion,,,suggestion
I'm 23 married with 2 children how tough do you think it would be pursuing my medical dream of being a gynecol,im 23 years old and married with 2 children how tough do you think it would be pursuing my dream of being a gynecologist?,"i can't belive that your willing to look at chicks gynie's all day that have herpes, crabs, warts, conjunctavitis and puss, and then come home and eat 1 when you get home... bugger that!","i can't belive that your willing to look at chicks gynie's all day that have herpes, crabs, warts, conjunctavitis and puss, and then come home and eat 1 when you get home... bugger that!",Alternative Medicine,Health,Alternative Medicine,,,,information
How can I make my blood blister quit hurting?,I got a blood blister earlier today and drained it. It seemed fine all day but now it hurts like hell. It did not swell again either.,"Yep, they hurt. Vaseline takes the soreness out. Put some on it and put a bandaid over it. It is just going to take a day or so.","Yep, they hurt.",First Aid,Health,General Health Care,treatment,,,information
Does anyone have trouble breathing when it is humid out?,I have shortness of breath during humid times.  I also experience burning sensation in my chest when exercising sometimes.  What is this?,"Because your lungs work on a system that diffuses oxygen through moisture on the alvioli (little nodes on the inside of your lungs) and the blood stream. This means that the oxygen has to be diffused in liquid form.

When it is really humid the air is already heavy with moisture in the form of water. This is not as easy to transfer to the moisture on the alvioli that are oxygen rich because the oxygen in the air is held in a water compound. 

When it is dry air, the moisture on the alvioli picks up the Oxygen more efficiently and it is easier to breath/",When it is really humid the air is already heavy with moisture in the form of water.,Respiratory Diseases,Health,Diseases & Conditions,cause,,,information
I read somewhere that food companies are the cause of most ilness. Why doesn't somebody put a stop to this,All the food comapanies care about is profit. Why do we keep letting food companies kill us with food made out of chemicals.,"When we have more doctors graduateing ,hospitals nurses and other staffs tend to need to have jobs. then i guess these companies are helping these industry. But I dont think one need to get sick just to have more of the above said professions.Nobody can change this unless we think wisely and the otherway round in life.",Nobody can change this unless we think wisely and the otherway round in life.,Other - Health,Health,Other - Health,,,,information
what is Mono Sodium glutamate? Is it good for health?,,"MSG is used as a ""Flavor Enhancer"", Used to Magnify Flavor, Without Actually Contributing to the Flavor of the Product, By Manipulating the Hydrolysis of HVP (Hydrolyzed Vegetable Protein) One Can Increase the Proportion of MSG (So it Might Be Hidden In HVP), I don't Think it is Good for you, Glutamine is a Stimulatory Neurotransmitter In the Brain, it is Also One of the Amino Acids Coded for In DNA.","MSG is used as a ""Flavor Enhancer"", Used to Magnify Flavor, Without Actually Contributing to the Flavor of the Product, By Manipulating the Hydrolysis of HVP (Hydrolyzed Vegetable Protein) One Can Increase the Proportion of MSG (So it Might Be Hidden In HVP), I don't Think it is Good for you, Glutamine is a Stimulatory Neurotransmitter In the Brain, it is Also One of the Amino Acids Coded for In DNA.",Infectious Diseases,Health,Diseases & Conditions,information,,,information
How harmful is...?,I just wanna know how harmful can gall-stones be. Da ones that get formed in your gall bladder. Are they really harmful and what are the effects of it??,"horrible bowel movements. you have to go to the bathroom and it hurts so bad you are sweating and nauseas and laying out on the floor...also, the stones can leak poison into your system if they stay there long enough.",you have to go to the bathroom and it hurts so bad you are sweating and nauseas and laying out on the floor...,Other - Diseases,Health,Diseases & Conditions,,,,information
How do you cure chigger bites?,"I was working on my truck in the yard, and while laying on the ground I apparently was bitten by chiggers. How do I get rid of them?",Bite them back.  This will teach them a lesson!,Bite them back.,Other - General Health Care,Health,General Health Care,odd,,,treatment
what would you do if your dentist pulled the wrong tooth ?,,FREAK OUT !!!!!!!!!,FREAK OUT !,Other - General Health Care,Health,General Health Care,,,,information
Help on VERY irregular menstrual cycle please?,"Hello there! I have a bit of an issue, and was wondering if anyone else has experienced something similar, or has any advice to offer.

I have not had a period for over six months now, and I am not sure what could cause that. I am eighteen years old, and have never been sexually active. I have experienced no other symptoms. I'm worried though, and have scheduled an appointment with my doctor. Does anyone have any thoughts? Thanks for reading.",it could also be if you're really active. if your active your period will not be as regular.,it could also be if you're really active.,Women's Health,Health,Women's Health,,,,cause
