subject,content,answer,sentence,cat,maincat,subcat,a_perspective_1,a_perspective_2,a_perspective_3,s_perspective_1
Sore tooth?,"I was eating some ice cream last night and one of my teeth started to hurt. It wasn't a really bad pain, it was more of a dull ache, and it lasted for a couple of hours. Does that mean I have a cavity? Or is the tooth just a bit sensitive?","The extent of sensitivity to cold can be determined by the strength of the enamel of a tooth. You may be sensitive to cold alone, but you may have a cavity. Your best bet is to see your dentist of course, as he or she will be the only one to tell you if you have a cavity. If you merely suffer from sensitivity, then you may want to try a toothpaste specifically designed to deal with this. My dentist changed my toothpaste to Sensodyne, because me teeth are soft and very sensitive. It does help. As I always say however, home remedies are great only if you aren't merely treating the symptoms of a larger problem.",The extent of sensitivity to cold can be determined by the strength of the enamel of a tooth.,Dental,Health,Dental,,,,information
My M.D. asked me for a Thyroid check up. He claims Lithium is harmful for the Thyroid Glad. Any M.D. Answer ?,"I will greatly appreciate other M.D.'s opinion whether this is so.
Got to take Lithium for the rest of my life and I've been having uncontrolled jerks while asleep and my Doctor is afraid that Lithium may be causing those sudden changes in my breathing rithm and uncontroled muscle movements. I only take much less than prescribed (just 150 milligrams a day )
When I don't take it I get depressed and can not eat nor sleep. Please HELP !!!","It is true that lithium can affect the thyroid gland (potentially making it underactive); and it can also affect your kidneys - this is why anyone on lithium should have periodic blood tests for thyroid and renal function, regardless of any symptoms. If your thyroid gland DOES become underactive, it is usually a simple matter to supplement with levothyroxine daily; and is therefore not such a big deal.
Generally the benefits of lithium in people with bipolar disorder or difficult to treat depression are considered to outweigh these risks; and this is why many millions of people are (safely) on lithium. This is especially true if you take a lower-than-average dose (as you do); because the chances of potential harmful side-effects ARE lowered with lower serum lithium levels.
The 'jerks' you mention dont sound related to your thyroid OR your lithium levels (which usually causes tremor if too high); but there is no harm in checking up on these.
Has he considered other diagnoses such as myoclonus or Tourette's Syndrome? Are you on any other medication?",Are you on any other medication?,Mental Health,Health,Mental Health,,,,information
How do you know if you have a bladder infection?,,if you have problems going to the bathroom or if it hurts to go. get it checked by a doctor.,get it checked by a doctor.,Other - Health,Health,Other - Health,,,,suggestion
Can FIBER make you slimmer?,best answer gets 10 points,"I do know that it can slough a lot of toxins and buildup out of your @ss, which is a good thing in itself. FIBER = GOOD! YUM!",FIBER = GOOD!,Diet & Fitness,Health,Diet & Fitness,,,,information
Tiny blisters on m fingers. Very itchy and I can never get rid of them.?,"These tiny blisters filled with liquid always show up on the same left hand ring finger for a year. It starts having them again and again every time skin peels off, skin dries up like crazy and new skin grows. They won't go away. Finger becomes very itchy and it's hard to resist scatching it.Tiny blisters show up on my other hand too but they go away faster. Lotion doesnt work and I dunno what does. I'm hopeless. I dont wanna have them for the rest of my life.","Sounds like an allergic reaction of somekind, i would see your doctor.....","Sounds like an allergic reaction of somekind, i would see your doctor.....",Skin Conditions,Health,Diseases & Conditions,,,,suggestion
why do i have to stand up for a pee?,i have kidney problems were i get a lot of kidney infections when i go to the toilet to wee nothing comes but when i stand up i can go can some one tell me why this is oh and by the way i am a  woman.,Physics.,Physics.,Women's Health,Health,Women's Health,,,,cause
Does dental insurance usually cover part of the cost of a mouth guard you get at a dentist or periodontist?,I am going to be getting a mouth guard and need to know if dental insurance will cover it.  It is for receding gums due to clenching.,"No, I have excellent insurance as well, and mine did not cover a mouth guard for TMJ.  Sorry.",Sorry.,Dental,Health,Dental,,,,information
Whats up with...............?,"Hey I need all the dirt (Good and Bad) on birth control.
I can't Ask my Doctor cuz my mom always comes to my apponintments with me. And don't worry bout my age im 15 and a bout to be 16 so im straght.
One of my friends is on it. First she started out on the patch untill her auntie called her about 21 Women who died from the patch in Tennessee and how it was all over the news and she was also one of those girls who had no shape ( a stright up Tree) and the pill enhanced (made bigger) her breast, butt, thigs, and stomach. shes not fat she just got shape. and i allready have a big butt, small waist, and a large breast (am i the only one who wants her **** to stop growin?) so i cant afford to blow up my hour glass shape would be distroied!!!!!!!!!!

and my BoyF wouldnt be too happy bout that! or would he?","If you're asking as a contraceptive, then it's not the most effective way, condoms are.","If you're asking as a contraceptive, then it's not the most effective way, condoms are.",First Aid,Health,General Health Care,,,,information
Health Care Survey?,"For those of you love completing surveys

http://theaplan.biz/benefits123",healthcare free in U.K we have a national health service.,healthcare free in U. K we have a national health service.,Dental,Health,Dental,,,,information
swhat antibiotic is used in treating gum abcess?,,"First: Get to a dentist!

If the infection is less than 3 days old, they can prescribe Pen VK. If older than 3 days, Augmentin. If allergic to penicillins, Clindamycin. All need a loading dose.

Amoxicillin is NOT to be used for an abcessed tooth. I know it's often used, but it does not have a good effect against a bone infection.

 When given the antibiotic, make sure you take ALL of it - even though you'll feel better before you're done with it. 

After the pain goes away, do not forget about it, the infection WILL come back until the tooth is treated."," When given the antibiotic, make sure you take ALL of it - even though you'll feel better before you're done with it.",Dental,Health,Dental,,,,information
is there a chance of getting leg replacement for amputees?,,"From what I understand about nerves and the way they work, they can't be patched together. There are other technologies used to make prostetic limbs that can move similar to natural limbs. These are using electrodes implanted in the brain to pick signals up the brain sends to stimulate the natural limb to move. They are attached to a prostetic limb controlled by electronic mechinisms to move. There is no feeling but it can move. I don't think it's being used in the public as of today.",I don't think it's being used in the public as of today.,Other - Health,Health,Other - Health,,,,information
"My friend has been told he has an abnormally high ""inflammatory count"" following blood tests. Whats this mean?",,Possibly linked with elivated white blood cells.,Possibly linked with elivated white blood cells.,Other - Diseases,Health,Diseases & Conditions,,,,cause
